label,content
设备及粮食质量,是日，该车司机陈某驾驶客车，由酒奠沟出发后一直爬山到梁顶，下坡时中速行驶。酒奠梁系砂石路面，山高路险，连续弯道，因前夜下雨路面潮湿较滑。路右侧靠山，左侧临沟，由梁顶行驶绕过第一个左转弯后，直行 53 米到第二个右转弯处，路基宽 8.3 米，有效路面5.5 米，路左肩宽 1.6 米，右肩宽 l.2米，路右靠山有塌方，长 13 米，占有效路面 o.5 米，进入弯道 6.2 米路左侧有一砂堆，长 4.9 米、高0.3 米，占有效路面 0.7 米。汽车左转压在砂堆右边沿下行，过砂堆后靠左斜行 9 米，驾驶员向右打两把方向盘，这时方向盘不起作用，继续向左斜行 7.3 米，左轮驶出有效路面 o.6 米后，又继续向左斜行7.7 米，左前轮驶出路外崖下，向前冲 7.9 米，右前轮下崖，继续前冲 5 米，在路下 6.5 米车辆开始翻滚，至 13l 米深沟处 6 轮朝天。造成了严重事故。
意外,1979年3月28日，某粮库因转移输粮机时机头触及高压线，当场造成15人被高压电击倒，经抢救后仍有3人死亡、12人受伤。
建筑安全,1980年5月3日上午8时，该粮库东边三间的砖拱、连续梁、砖柱突然倒塌。当时有9名工人正在库内抹灰，其中7人被压死。该粮仓由一位未学过建筑结构的人设计，凭经验绘制了三张草图，未经任何审查就交付施工。该粮库为砖拱结构，长59m，宽18m，建筑面积为1062m2。砖拱跨度为4.87m，进深为17.63m。砖拱分别由横隔砖墙和砖柱支承的连续梁承担，其中砖柱和其支承的连续梁是该结构的薄弱环节。砖拱厚18cm，上填素土，素土上铺3：7灰土厚10cm，一毡二油防水层，顶面平铺砖厚6cm。室内横隔砖墙厚37cm，砖柱断面为49cm*49cm，高4.4m。混凝土柱基底面为1.2m*1.2m，高55cm，下铺3：7灰土，厚45cm，柱基深为1m。砖柱顶上的钢筋混凝土连续梁高50cm，宽37cm。
监管不严,1986年8月18日，浙江省龙游县湖镇粮油厂糠油车间出槽的饼温很高，由于输送管道弯头处糠饼积聚过多，散热不良，引起自燃后，火星又经吸风机逐步引及糠饼集尘器，致使后面的布简集尘器冒出明火。当救火职工拉掉布简时，简内大量糠尘散落，与空气混合，遇明火后，立即发生粉尘的爆炸性燃烧。烟火封死了上楼通道，7名救火职工疏散不开，而被烧伤。其中2人抢救无效死亡，3人重伤。
监管不严,1987年10月3日，某企业派一位临时工购买“敌敌畏”进行空仓消毒，药剂销售人员错把剧毒农药“1605”当成“敌敌畏”售出。该名工人不识字，将剧毒农药带回，企业保管员也未对所购药品进行验收核对，即指挥另外两名临时工用所购药剂进行空仓消毒，致使该仓存储的1000吨小麦局部遭受剧毒农药污染。
监管不严,1990年12月25日16时25分黑龙江佳木斯千江食品公司制油厂，因设备大量泄漏溶剂，设备带病运转产生火花，发生特大爆炸火灾事故。4033m2厂房被炸毁，浸出器等引进生产设备和管线遭严重破坏，当班13名工人中5人受伤，直接经济损失(当期) 2100 多万元。
意外,3月26日凌晨1时左右，下着大雨、刮着大风，一声炸雷后，宝塔河粮库库区内照明全部熄灭。两名值班经济民警到配电室查看情况，不久就听到有人喊“失火了”，值班经济民警发现3号仓方向有浓烟，连忙打电话向消防队报警。市消防支队立即调集全市三个公安消防队，七个企业专职消防队共17台消防车、150名消防队员赶到火场。消防队到达火场时，整栋仓库已大面积燃烧，火势猛烈，1、2、3号仓一片火海，并引燃了储存在两栋库房之间通道上的达227万公斤粮食的露天堆垛，严重威胁其它库房的安全。市委、市政府和市公安局领导亲临火场视察火情，指挥灭火战斗。凌晨3时左右，大火被基本控制，5时左右明火被全部扑灭。
违规操作,1991年4月23日8时45分，青海省某县总寨粮管所在拆除一座可储粮150万公斤已报废的拱形旧粮库时，因方法不当，发生倒塌，造成10人死亡，3人受伤。该粮库建于1960年8月，库长约35米，宽20.85米，高4.8米，为五跨连拱砖混土坯结构。由于粮库屋面漏雨，墙面风化，无法储粮，青海省商业厅批准该库报废。1991年4月，总寨乡陈家滩村民李某承包了该粮库的拆除工作，并于1991年4月21日正式开工。4月23日上午，李某当日的工作交给本队负责施工技术的汪某、管理安全的郭某，并对拆除工作作了简单安排，随后同甲方魏某去办理承包合同的公证手续。汪某、郭某带领农民工22人进入拆除工地，安排了具体干法，即将20人分派到粮库屋顶。其中16人拆拱顶连接的隔墙，3人从南向北撕卷屋顶的油毛毡，1人留在地面临时修路。8时45分，拱顶连接隔墙的拆破点、粮库屋面的西南方、南北第一拱的两头连接隔墙处，三处同时拆破，并都破断到6米，这时突然五间连拱隔墙从东北方向向西南方向连续倒塌。使正在屋顶拆除作业的20名工人随同屋顶连拱的隔墙倒下，在地面工作的人也被碎砖瓦埋压，当场伤亡13人。
意外,1993年12月初，黑龙江肇东市涝洲粮库进行气割作业。当电焊工气割地磅时，突然发生剧烈爆炸，死亡2人，伤11人。黑龙江省劳动局组织了专家调查，现将调查情况简介如下。一、事故经过1993年12月7日早8时45分，电焊工对粮库地磅进行气割，正在割着，突然一声巨响，气瓶发生粉碎性爆炸。现场有一些送粮农民，其中2人当场为碎片击死，11人被击伤。经勘察，爆炸点30米范围内的26间房屋的玻璃均被震碎，两间房的窗户飞出，气瓶碎片四散而去，最远达170多米。
违规操作,1997年8月30日，某粮库作业副班长( 合同工)违章组织工人移动输粮机时，搭接3.5万伏高压线，造成3人当场触电身亡、1人重伤、1人轻伤。
